Subsidiary,Planned_Courses,Completed_Courses,Course_Completion_Rate,Planned_Hours,Actual_Hours,Hours_Completion_Rate,New_Hire_Completed,New_Hire_Not_Completed,New_Hire_Pending,New_Hire_Total,New_Hire_Completion_Rate,EIP_Completed,EIP_Not_Completed,EIP_Total,EIP_Completion_Rate,GLP_Completed,GLP_Not_Completed,GLP_Total,GLP_Completion_Rate,New_Leader_Completed,New_Leader_Not_Completed,New_Leader_Total,New_Leader_Completion_Rate,Final Region,No.,JAM Member,Annual Plan Setup,New LMS Course,LMS Mission,Global L&D Council,Infra index response,Score
LGEEG,10,11,100.0,1460.0,1035.06,70.9,7.0,0.0,2.0,9.0,100.0,4.0,0.0,4.0,100.0,2.0,0.0,2.0,100.0,0.0,4.0,4.0,0.0,MEA Region,18,Y,Y,Y,Y,N,N,83
LGEEG FACTORY,11,12,100.0,897.5,601.31,67.0,1.0,0.0,10.0,11.0,100.0,6.0,0.0,6.0,100.0,6.0,0.0,6.0,100.0,0.0,6.0,6.0,0.0,MEA Region,16,Y,Y,Y,N,N,N,83
LGESP MANAUS FACTORY,7,7,100.0,3689.0,699.5,18.97,18.0,0.0,1.0,19.0,100.0,19.0,0.0,19.0,100.0,3.0,0.0,3.0,100.0,0.0,3.0,3.0,0.0,LATAM Region,32,Y,Y,Y,N,N,N,75
LGEFL,4,4,100.0,1120.0,40.5,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,Europe Region,61,Y,Y,Y,Y,N,N,84
GREECE BRANCH,7,7,100.0,1174.0,612.0,52.13,1.0,0.0,1.0,2.0,100.0,2.0,0.0,2.0,100.0,4.0,0.0,4.0,100.0,0.0,1.0,1.0,0.0,Europe Region,68,Y,Y,Y,Y,N,N,79
LGESW,11,11,100.0,646.0,204.6,31.68,1.0,2.0,3.0,6.0,66.67,2.0,0.0,2.0,100.0,3.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,Europe Region,51,Y,Y,Y,Y,N,N,79
LGELF,50,47,94.0,20.0,408.01,100.0,2.0,0.0,0.0,2.0,100.0,1.0,0.0,1.0,100.0,3.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,MEA Region,12,Y,Y,Y,Y,N,N,100
LGEPR,15,14,93.34,1771.3,391.3,22.1,4.0,3.0,2.0,9.0,66.67,3.0,0.0,3.0,100.0,5.0,0.0,5.0,100.0,0.0,1.0,1.0,0.0,LATAM Region,43,Y,Y,Y,N,N,N,70
LGEIH,13,12,92.31,1613.0,508.5,31.53,3.0,1.0,4.0,8.0,87.5,4.0,0.0,4.0,100.0,6.0,0.0,6.0,100.0,0.0,1.0,1.0,0.0,Europe Region,56,Y,Y,Y,Y,N,N,72
LGECB,16,13,81.25,3908.5,378.3,9.68,4.0,4.0,4.0,12.0,66.67,5.0,0.0,5.0,100.0,3.0,0.0,3.0,100.0,0.0,3.0,3.0,0.0,LATAM Region,41,Y,Y,Y,Y,N,N,68
LGEHK,14,11,78.58,1206.0,606.3,50.28,7.0,0.0,2.0,9.0,100.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.0,1.0,1.0,0.0,Asia Region,105,Y,Y,Y,N,N,N,75
LGEUK,17,13,76.48,214.0,534.0,100.0,7.0,4.0,3.0,14.0,71.43,0.0,0.0,0.0,0.0,8.0,0.0,8.0,100.0,0.0,2.0,2.0,0.0,Europe Region,64,Y,Y,Y,Y,N,N,82
LGEIL,25,17,68.0,24574.0,2835.7,11.54,52.0,35.0,5.0,92.0,61.96,5.0,1.0,6.0,83.33,27.0,1.0,28.0,96.43,0.0,9.0,9.0,0.0,India,46,Y,Y,Y,Y,N,N,63
PORTUGAL BRANCH,18,12,66.67,127.0,378.8,100.0,11.0,0.0,0.0,11.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,100.0,0.0,1.0,1.0,0.0,Europe Region,67,Y,Y,Y,Y,N,N,87
LGEBN,24,15,62.5,60.0,354.0,100.0,8.0,6.0,2.0,16.0,62.5,1.0,0.0,1.0,100.0,7.0,0.0,7.0,100.0,0.0,2.0,2.0,0.0,Europe Region,55,Y,Y,Y,Y,N,N,82
CENTRAL SOUTH EU BRANCH,16,10,62.5,1221.0,661.8,54.21,8.0,0.0,1.0,9.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,100.0,0.0,1.0,1.0,0.0,Europe Region,54,Y,Y,Y,Y,N,N,75
LGERS,13,8,61.54,13907.0,234.5,1.69,7.0,5.0,3.0,15.0,66.67,0.0,0.0,0.0,0.0,5.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,LATAM Region,35,Y,Y,N,N,N,N,75
LGEIN CIBITUNG FACTORY,27,16,59.26,8878.0,3304.6,37.23,0.0,0.0,3.0,3.0,100.0,17.0,0.0,17.0,100.0,10.0,0.0,10.0,100.0,0.0,1.0,1.0,0.0,Asia Region,89,Y,Y,Y,Y,N,N,69
LGEWE,30,16,53.34,2252.0,834.5,37.06,8.0,6.0,4.0,18.0,66.67,8.0,0.0,8.0,100.0,17.0,2.0,19.0,89.47,0.0,6.0,6.0,0.0,Europe Region,57,Y,Y,Y,Y,N,N,61
LGESP,38,20,52.64,3608.0,6751.5,100.0,48.0,3.0,9.0,60.0,95.0,16.0,2.0,18.0,88.89,13.0,1.0,14.0,92.86,0.0,16.0,16.0,0.0,LATAM Region,33,Y,Y,Y,Y,N,N,82
LGETA,29,15,51.73,10233.0,9788.97,95.67,37.0,2.0,3.0,42.0,95.24,26.0,0.0,26.0,100.0,25.0,0.0,25.0,100.0,0.0,11.0,11.0,0.0,China,76,Y,Y,Y,Y,N,N,85
LGEQH,33,17,51.52,190.0,1832.2,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,China,84,Y,Y,Y,N,N,N,94
LGEMS,20,10,50.0,13793.17,701.4,5.09,9.0,16.0,15.0,40.0,60.0,1.0,0.0,1.0,100.0,14.0,0.0,14.0,100.0,0.0,1.0,1.0,0.0,LATAM Region,40,Y,Y,N,N,N,N,64
LGEES,14,7,50.0,2201.5,1052.3,47.8,3.0,0.0,0.0,3.0,100.0,2.0,0.0,2.0,100.0,12.0,0.0,12.0,100.0,0.0,1.0,1.0,0.0,Europe Region,52,Y,Y,Y,Y,N,N,73
LGSI,51,25,49.02,37944.0,2628.0,6.93,75.0,52.0,79.0,206.0,74.76,16.0,0.0,16.0,100.0,24.0,0.0,24.0,100.0,0.0,8.0,8.0,0.0,India,49,N,Y,N,N,N,N,54
LGERA RUZA FACTORY,9,4,44.45,953.0,300.8,31.57,1.0,0.0,2.0,3.0,100.0,4.0,0.0,4.0,100.0,4.0,0.0,4.0,100.0,0.0,2.0,2.0,0.0,CIS Region,72,Y,Y,Y,Y,N,N,69
LGEAP,39,17,43.59,111.5,846.3,100.0,12.0,5.0,5.0,22.0,77.27,3.0,0.0,3.0,100.0,8.0,0.0,8.0,100.0,0.0,1.0,1.0,0.0,Asia Region,99,Y,Y,Y,N,N,N,80
LGESJ,21,9,42.86,26.0,314.79,100.0,5.0,2.0,1.0,8.0,75.0,3.0,0.0,3.0,100.0,1.0,0.0,1.0,100.0,0.0,7.0,7.0,0.0,MEA Region,19,Y,Y,Y,N,N,N,80
LGEIL PUNE FACTORY,24,10,41.67,6351.0,759.1,11.96,11.0,2.0,18.0,31.0,93.55,6.0,0.0,6.0,100.0,3.0,0.0,3.0,100.0,0.0,3.0,3.0,0.0,India,47,Y,Y,Y,N,N,N,69
LGEWR,27,10,37.04,4155.0,177.5,4.28,0.0,0.0,2.0,2.0,100.0,9.0,0.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Europe Region,58,Y,Y,Y,Y,N,N,67
LGETH,72,26,36.12,32424.3,1856.6,5.73,37.0,2.0,0.0,39.0,94.87,2.0,0.0,2.0,100.0,12.0,0.0,12.0,100.0,0.0,7.0,7.0,0.0,Asia Region,101,Y,Y,N,Y,N,N,67
LGESA,55,19,34.55,60.0,217.24,100.0,1.0,2.0,1.0,4.0,50.0,3.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,MEA Region,23,Y,Y,Y,N,N,N,76
LGESR,27,9,33.34,0.0,80.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,MEA Region,14,Y,Y,Y,N,N,N,60
LGEFS,34,10,29.42,44.0,605.5,100.0,5.0,11.0,5.0,21.0,47.62,8.0,0.0,8.0,100.0,12.0,1.0,13.0,92.31,0.0,1.0,1.0,0.0,Europe Region,50,Y,Y,Y,Y,N,N,76
LGEQA,7,2,28.58,4027.0,835.0,20.74,2.0,2.0,0.0,4.0,50.0,6.0,0.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,China,86,Y,Y,Y,Y,N,N,60
LGEDV,131,35,26.72,12956.9,8547.05,65.97,81.0,17.0,8.0,106.0,83.96,8.0,0.0,8.0,100.0,24.0,1.0,25.0,96.0,0.0,2.0,2.0,0.0,Asia Region,96,Y,Y,Y,Y,N,N,72
LGETR,32,8,25.0,6485.0,8805.29,100.0,15.0,0.0,0.0,15.0,100.0,20.0,0.0,20.0,100.0,11.0,0.0,11.0,100.0,0.0,1.0,1.0,0.0,China,77,Y,Y,Y,Y,N,N,83
LGEIL NOIDA FACTORY,67,14,20.9,6837.0,15313.0,100.0,15.0,0.0,1.0,16.0,100.0,5.0,0.0,5.0,100.0,5.0,0.0,5.0,100.0,0.0,3.0,3.0,0.0,India,48,Y,Y,Y,Y,N,N,83
LGECE,34,6,17.65,44.0,468.0,100.0,2.0,1.0,4.0,7.0,85.71,2.0,0.0,2.0,100.0,5.0,0.0,5.0,100.0,0.0,1.0,1.0,0.0,Europe Region,60,Y,Y,Y,Y,N,N,80
LGEIR,12,2,16.67,16.0,13.69,85.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEA Region,28,Y,Y,N,N,N,N,88
LGEEF,63,10,15.88,684.0,230.28,33.67,4.0,2.0,0.0,6.0,66.67,4.0,0.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,MEA Region,22,Y,Y,N,N,N,N,62
LGEVR,73,10,13.7,9618.7,98.5,1.03,6.0,11.0,10.0,27.0,59.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,LATAM Region,42,Y,Y,Y,Y,N,N,60
LGETH RAYONG FACTORY,63,7,11.12,30140.0,5427.96,18.01,17.0,5.0,7.0,29.0,82.76,13.0,0.0,13.0,100.0,4.0,0.0,4.0,100.0,0.0,5.0,5.0,0.0,Asia Region,88,Y,Y,Y,Y,N,N,64
LGEAI,0,6,0.0,0.0,517.8,0.0,5.0,2.0,2.0,9.0,77.78,1.0,0.0,1.0,100.0,8.0,0.0,8.0,100.0,0.0,4.0,4.0,0.0,NA Region,1,Y,N,N,N,N,N,62
LGETK,0,20,0.0,0.0,315.21,0.0,5.0,1.0,0.0,6.0,83.33,2.0,0.0,2.0,100.0,1.0,0.0,1.0,100.0,0.0,1.0,1.0,0.0,MEA Region,13,Y,Y,N,N,N,N,64
LGEVU,0,6,0.0,0.0,238.5,0.0,4.0,1.0,1.0,6.0,83.33,2.0,0.0,2.0,100.0,5.0,0.0,5.0,100.0,0.0,2.0,2.0,0.0,NA Region,4,Y,N,Y,N,N,N,64
LGEUS TENNESSEE FACTORY,0,45,0.0,0.0,394.6,0.0,8.0,0.0,5.0,13.0,100.0,6.0,0.0,6.0,100.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,NA Region,6,Y,N,Y,N,N,N,69
HUNTSVILLE CAC PRODUCTION DEPARTMENT,0,4,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA Region,10,Y,N,Y,N,N,N,76
ZENITH R&D LAB,0,5,0.0,0.0,103.5,0.0,1.0,1.0,1.0,3.0,66.67,0.0,0.0,0.0,0.0,3.0,0.0,3.0,100.0,0.0,1.0,1.0,0.0,NA Region,5,N,N,Y,N,N,N,52
LGEHZ,9,0,0.0,1588.5,276.0,17.38,2.0,2.0,1.0,5.0,60.0,4.0,0.0,4.0,100.0,5.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,China,80,Y,Y,Y,Y,N,N,71
LGECI,0,14,0.0,0.0,619.6,0.0,12.0,10.0,19.0,41.0,75.61,0.0,0.0,0.0,0.0,7.0,0.0,7.0,100.0,0.0,10.0,10.0,0.0,NA Region,2,N,N,N,N,N,N,52
LGEMG,0,8,0.0,0.0,270.92,0.0,8.0,1.0,0.0,9.0,88.89,2.0,0.0,2.0,100.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,MEA Region,11,Y,N,N,N,N,N,73
LGECZ,0,9,0.0,0.0,527.5,0.0,33.0,7.0,1.0,41.0,82.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,Europe Region,106,Y,N,Y,Y,N,N,64
LGERC,0,15,0.0,15167.0,18098.5,100.0,107.0,0.0,0.0,107.0,100.0,32.0,0.0,32.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Asia Region,95,Y,Y,Y,Y,N,N,83
LGEID,0,10,0.0,0.0,421.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.0,1.0,1.0,0.0,Asia Region,100,Y,Y,Y,N,N,N,58
LGEUS,0,35,0.0,0.0,2645.81,0.0,45.0,22.0,26.0,93.0,76.34,5.0,2.0,7.0,71.43,47.0,1.0,48.0,97.92,0.0,25.0,25.0,0.0,NA Region,3,Y,N,Y,N,N,N,57
